,Unnamed: 0,individual_wikidata_id,productive_year,decade,individual_name,score,region_name,count_works
36,523,Q2241213,1810.0,1810,Wouter Johannes van Troostwijk,28,Low countries,6.0
37,560,Q316820,1845.0,1840,Ferenc Erkel,74,Eastern Europe,0.0
38,567,Q5764623,1870.0,1870,Carl Goos,17,Nordic countries,0.0
39,570,Q96481424,1848.0,1850,Josef Eschfäller,1,Eastern Europe,0.0
40,601,Q18242268,1864.0,1860,Carl Hammar,1,Nordic countries,0.0
41,609,Q36547729,1855.0,1860,Marie Joseph Henry Émile Mazuc,3,France,0.0
42,634,Q4798695,1823.0,1820,Arthur Fleming Morrell,3,United Kingdom,0.0
43,651,Q20437040,1862.0,1860,Ferenc Schmidt,11,Eastern Europe,0.0
44,659,Q47455705,1825.0,1820,Carlo Valentini,17,Italy,0.0
45,674,Q9371593,1834.0,1830,Wawrzyniec Andrzej Soświński,2,Eastern Europe,0.0
46,682,Q3130292,1868.0,1870,Henley Grose-Smith,7,United Kingdom,1.0
47,693,Q3074141,1824.0,1820,Florentin Ducos,11,France,0.0
48,726,Q21544677,1840.0,1840,Karl Nieberding,15,Eastern Europe,0.0
49,730,Q1064352,1834.0,1830,Charles Fellows,36,United Kingdom,0.0
50,753,Q51227943,1835.0,1840,M. A. Benoist,7,France,0.0
51,770,Q4253568,1862.0,1860,Thomas Joseph Lamy,28,Low countries,0.0
52,782,Q3048440,1861.0,1860,Edward Askew Sothern,19,United Kingdom,0.0
53,787,Q55334242,1824.0,1820,Antoni Jaźwiński,12,Eastern Europe,0.0
54,792,Q5498764,1859.0,1860,Frederick Spurrell,3,United Kingdom,5.0
55,796,Q116912,1825.0,1820,François Gaussen,29,France,0.0
56,806,Q335269,1807.0,1810,Ram Mohan Roy,51,United Kingdom,11.0
57,808,Q4180502,1834.0,1830,Franz Faldermann,17,Eastern Europe,5.0
58,814,Q724418,1815.0,1820,Matvei Gedenschtrom,7,Eastern Europe,0.0
59,830,Q53503012,1832.0,1830,Antoine Claude Gabriel Jobert,11,France,0.0
60,843,Q26883660,1855.0,1860,Léonard Périer,1,France,0.0
61,860,Q3291271,1853.0,1850,Marianna Barbieri-Nini,16,Italy,0.0
62,867,Q5888200,1845.0,1840,Guillaume Vigineix,9,France,1.0
63,875,Q94918572,1872.0,1870,Sebastian B. Schlesinger,10,France,0.0
64,879,Q23898982,1872.0,1870,Juliette Charlotte Hébert,6,France,0.0
65,943,Q26694381,1851.0,1850,Erkki Lahti (kuvanveistäjä),2,Nordic countries,0.0
66,959,Q111334106,1859.0,1860,Matthijs Willem Gerardus Michielsen,3,Low countries,0.0
67,967,Q931340,1873.0,1870,August Allebé,37,Low countries,56.0
68,978,Q3507724,1849.0,1850,František Jaromír Rubeš,21,Eastern Europe,13.0
69,990,Q75028998,1869.0,1870,James Waterson,7,United Kingdom,0.0
70,994,Q704671,1813.0,1810,Filippo Taglioni,45,Italy,0.0
71,1002,Q8963280,1872.0,1870,Gabriel Faraill,4,France,3.0
72,1019,Q95149946,1872.0,1870,Matěj A. Hrubý,5,Eastern Europe,0.0
73,1032,Q17285107,1851.0,1850,Giacomo Manzoni,28,Italy,0.0
74,1036,Q8020425,1848.0,1850,William Wilmer Pocock,11,United Kingdom,1.0
75,1040,Q12050275,1868.0,1870,Rudolf Thurn-Taxis,11,Eastern Europe,0.0
76,1052,Q63121615,1853.0,1850,Josef Czastka,2,Eastern Europe,0.0
77,1056,Q372835,1868.0,1870,François Emile Ehrmann,21,France,12.0
78,1104,Q106489414,1866.0,1870,Eduard Charles Louis Kalshoven,5,Low countries,0.0
79,1117,Q5343387,1845.0,1840,Edward Hearle Rodd,7,United Kingdom,0.0
80,1124,Q2245683,1848.0,1850,Gerbrand Vissering,8,Low countries,0.0
81,1134,Q16030872,1865.0,1860,Thomas Roger Smith,26,United Kingdom,0.0
82,1135,Q4229045,1846.0,1850,Nikolay Kolyubakin,1,Eastern Europe,0.0
83,1140,Q21464594,1827.0,1830,Joseph Hornung,23,France,1.0
84,1145,Q2061120,1857.0,1860,Paul Marcellin Berthier,21,France,1.0
85,1148,Q19802601,1820.0,1820,Petronella van Woensel,19,Low countries,1.0
86,1154,Q21154008,1846.0,1850,Fyodor Pryadilschikov,2,Eastern Europe,0.0
87,1188,Q1128172,1832.0,1830,István Lassú,12,Eastern Europe,0.0
88,1196,Q64800509,1858.0,1860,Louis Lucy Le Breton,4,France,0.0
89,1217,Q28657409,1849.0,1850,François-Gervais Richard,1,France,0.0
90,1220,Q4762781,1844.0,1840,Angelique Magito,3,Nordic countries,0.0
91,1247,Q3313677,1834.0,1830,Mikhail Lavrov,2,Eastern Europe,0.0
92,1252,Q3665487,1846.0,1850,Cesare Mussini,20,Italy,2.0
93,1298,Q18529865,1849.0,1850,James Hedderwick,10,United Kingdom,0.0
94,1312,Q62614705,1870.0,1870,Louis Davyl,12,France,0.0
95,1340,Q21645705,1832.0,1830,Jean-Baptiste De Landtsheer,6,Low countries,1.0
96,1342,Q87007,1840.0,1840,Karl Josef Napoleon Balling,18,Eastern Europe,0.0
97,1362,Q22343635,1861.0,1860,Louis Daels,3,Low countries,4.0
98,1369,Q1871934,1850.0,1850,Louis Pierre Gratiolet,28,France,0.0
99,1384,Q21522061,1817.0,1820,Tamás Nendtvich,11,Eastern Europe,0.0
100,1423,Q883101,1848.0,1850,Ernst Haberbier,31,Nordic countries,0.0
101,1430,Q7344926,1860.0,1860,Robert Gray,8,United Kingdom,0.0
102,1438,Q93552869,1809.0,1810,William Bateman,2,United Kingdom,0.0
103,1442,Q15642811,1841.0,1840,Casimiro Danna,9,Italy,0.0
104,1446,Q64685625,1855.0,1860,Jemima Croly,1,United Kingdom,0.0
105,1462,Q1627741,1835.0,1840,Wilhelm Kirchhoff,8,Eastern Europe,0.0
106,1476,Q55916607,1851.0,1850,Herschell Filipowski,22,Eastern Europe,0.0
107,1494,Q17479406,1863.0,1860,Pietro Neri-Baraldi,9,Italy,0.0
108,1497,Q8338691,1868.0,1870,Théodore Jourdan,15,France,0.0
109,1518,Q57008769,1851.0,1850,Philip Chauncy,9,United Kingdom,1.0
110,1522,Q19361088,1838.0,1840,John Barak Swaine,7,United Kingdom,0.0
111,1545,Q444538,1825.0,1820,Per Daniel Amadeus Atterbom,65,Nordic countries,40.0
112,1565,Q60237719,1858.0,1860,Charles Jan van Damme,1,Low countries,0.0
113,1575,Q3839536,1873.0,1870,Luigi Crippa,10,Italy,2.0
114,1595,Q41311350,1820.0,1820,Herman Thepass,7,Low countries,2.0
115,1623,Q5764827,1827.0,1830,Charles Clotsworthy Wood Taylor,11,United Kingdom,1.0
116,1647,Q98969950,1836.0,1840,Robert Marsh Westmacott,9,United Kingdom,0.0
117,1650,Q69677908,1857.0,1860,Alexandre Magenc,1,France,0.0
118,1655,Q18783923,1869.0,1870,Mary Anne Hearn,29,United Kingdom,0.0
119,1657,Q95362801,1870.0,1870,Čeněk Chlumský,3,Eastern Europe,0.0
120,1661,Q43375724,1838.0,1840,Thomas Field Gibson,1,United Kingdom,0.0
121,1665,Q3163885,1810.0,1810,Jean-Baptiste Binon,2,France,0.0
122,1681,Q4180080,1857.0,1860,Peter Michal Bohúň,23,Eastern Europe,123.0
123,1689,Q18276448,1830.0,1830,Auguste Simon Jean Poirson,19,France,2.0
124,1693,Q30348613,1849.0,1850,Cesare Vignati,19,Italy,0.0
125,1697,Q109809312,1823.0,1820,Antonio Tessari,4,Italy,0.0
126,1709,Q310437,1858.0,1860,Alexandre Cabanel,69,France,88.0
127,1728,Q107457007,1835.0,1840,John Franklin,7,United Kingdom,0.0
128,1747,Q3568870,1848.0,1850,William Parrott,14,United Kingdom,8.0
129,1755,Q18161027,1874.0,1870,George Lewis,15,United Kingdom,12.0
130,1758,Q5785034,1835.0,1840,Gustaf Hieronymus Hallman,4,Nordic countries,2.0
131,1762,Q21464897,1855.0,1860,Godefroy de Hagemann,12,France,0.0
132,1767,Q80137,1848.0,1850,Emily Brontë,205,United Kingdom,31.0
133,1780,Q3903657,1868.0,1870,Pietro Ardito,12,Italy,0.0
134,1786,Q2026370,1856.0,1860,Jens Andreas Friis,39,Nordic countries,30.0
135,1791,Q19900926,1862.0,1860,Louis-Félix-Achille Dien,13,France,2.0
136,1813,Q19629088,1833.0,1830,Pierre-Théophile Segretain,12,France,0.0
137,1899,Q5735173,1865.0,1860,Herbert Oakeley,31,United Kingdom,0.0
138,1903,Q16560094,1835.0,1840,Giovanni Orazio Cartagenova,9,Italy,0.0
139,1907,Q5056439,1846.0,1850,Cecilia Lucy Brightwell,29,United Kingdom,2.0
140,1917,Q55125329,1852.0,1850,Simon Moriggl,7,Italy,0.0
141,1925,Q3712936,1873.0,1870,Domenico Caligo,9,Italy,0.0
142,1942,Q2839877,1855.0,1860,Alphonse Leroy,19,France,0.0
143,1949,Q64685854,1873.0,1870,Mary Paull,4,United Kingdom,0.0
144,1953,Q95151809,1874.0,1870,Karel Zástěra,4,Eastern Europe,0.0
145,1959,Q40583387,1859.0,1860,Moriz Ludwig Winter,16,Eastern Europe,2.0
146,1973,Q23044984,1858.0,1860,Johan Jakob Reinberg,6,Nordic countries,0.0
147,2004,Q3133085,1873.0,1870,Henry Stacquet,18,Low countries,5.0
148,2017,Q61946651,1865.0,1860,Stanislas de Charnal,8,France,0.0
149,2037,Q3068711,1866.0,1870,Ferdinando Cicconi,3,Italy,0.0
150,2052,Q1394596,1846.0,1850,Pierre Étienne Rémillieux,7,France,0.0
151,2059,Q1466508,1862.0,1860,István Zajzoni Rab,9,Eastern Europe,0.0
152,2095,Q2094475,1806.0,1810,Pietro Pulli,8,Italy,0.0
153,2110,Q4157027,1874.0,1870,Daniel Delaru,6,Eastern Europe,0.0
154,2145,Q102279697,1860.0,1860,Francesco Campajola,1,Italy,0.0
155,2149,Q18012099,1837.0,1840,Théodore Carlier,5,France,0.0
156,2153,Q3185904,1874.0,1870,Joseph-Émile Barbier,5,France,0.0
157,2167,Q5237655,1848.0,1850,David Monro,12,United Kingdom,0.0
158,2175,Q621434,1826.0,1830,César-Mansuète Despretz,27,France,0.0
159,2182,Q16563806,1833.0,1830,Julian Karczewski,7,Italy,1.0
160,2189,Q717133,1820.0,1820,Arvid August Afzelius,49,Nordic countries,1.0
161,2204,Q20798233,1849.0,1850,Pierre Le Nordez,8,France,10.0
162,2220,Q5477226,1861.0,1860,Pentti Hirvonen,1,Nordic countries,0.0
163,2261,Q23815262,1863.0,1860,William Mawson,3,United Kingdom,0.0
164,2277,Q46581011,1817.0,1820,John Wilson,5,United Kingdom,0.0
165,2297,Q6228726,1832.0,1830,John Davidson,15,United Kingdom,1.0
166,2305,Q2833622,1815.0,1820,Alexandre Du Mège,20,France,0.0
167,2328,Q7410863,1823.0,1820,Samuel Bamford,26,United Kingdom,0.0
168,2340,Q6259487,1858.0,1860,John Struthers,17,United Kingdom,3.0
169,2341,Q1159676,1854.0,1850,Ludwig Reissenberger,12,Eastern Europe,0.0
170,2383,Q3615958,1813.0,1810,Andrea Pozzi,17,Italy,0.0
171,2389,Q2069778,1864.0,1860,Francis Day,29,United Kingdom,7.0
172,2407,Q55860062,1868.0,1870,Josef Roller,12,Eastern Europe,0.0
173,2411,Q56255852,1857.0,1860,Karol Jurkiewicz,10,Eastern Europe,0.0
174,2419,Q268259,1869.0,1870,Lorentz Dietrichson,42,Nordic countries,3.0
175,2436,Q688529,1825.0,1820,Johannes Carsten Hauch,53,Italy,2.0
176,2498,Q2857468,1844.0,1840,Antonio Somma,66,Italy,0.0
177,2510,Q24205812,1874.0,1870,Alphonse Terpereau,15,France,0.0
178,2528,Q3526516,1826.0,1830,Théodore de Gargan,3,France,0.0
179,2540,Q59395403,1835.0,1840,A. Moline,1,France,0.0
180,2569,Q19606936,1816.0,1820,Camille de Roquefeuil,9,France,0.0
181,2576,Q11769476,1873.0,1870,Marian Karol Dubiecki,18,Eastern Europe,0.0
182,2579,Q12165413,1862.0,1860,Ivan Fedorenko,4,Eastern Europe,0.0
183,2655,Q11736297,1858.0,1860,Karol Sembrzycki,3,Eastern Europe,0.0
184,2660,Q110420634,1869.0,1870,Jacopo Virgilio,14,Italy,0.0
185,2678,Q3357789,1863.0,1860,Otto Andreas Lowson Mörch,21,France,6.0
186,2684,Q21544917,1832.0,1830,Friedrich Martin,14,Eastern Europe,0.0
187,2705,Q1571482,1850.0,1850,Richard Ansdell,49,United Kingdom,13.0
188,2718,Q85887441,1855.0,1860,Ivan Shapovalov,1,Eastern Europe,0.0
189,2731,Q6790549,1858.0,1860,Matthew George Easton,16,United Kingdom,2.0
190,2744,Q73407652,1827.0,1830,Valk Reinier Kempe,2,Low countries,0.0
191,2752,Q55914494,1838.0,1840,George Ott,10,Eastern Europe,0.0
192,2795,Q3067463,1856.0,1860,Faustin Besson,30,France,1.0
193,2804,Q6256001,1854.0,1850,Johan Julius Åstrand,13,Nordic countries,0.0
194,2808,Q104387807,1820.0,1820,Louis-Basile de Veaucorbeille,6,France,1.0
195,2815,Q6336122,1873.0,1870,Valdemar Vahlin,3,Nordic countries,0.0
196,2820,Q2424193,1859.0,1860,Thomas George Knox,3,United Kingdom,0.0
197,2839,Q5579445,1873.0,1870,Carl Johan Blomberg,9,Nordic countries,0.0
198,2844,Q2839981,1871.0,1870,Alphonse Trémeau de Rochebrune,18,France,2.0
199,2856,Q94871959,1844.0,1840,Louis Messemaeckers,10,Low countries,0.0
200,2860,Q4742233,1842.0,1840,"Amelia Cary, Viscountess Falkland",9,United Kingdom,35.0
201,2891,Q3766077,1874.0,1870,Giovan Battista Magnaghi,17,Italy,0.0
202,2908,Q5131269,1869.0,1870,Clemens Petersen,20,Nordic countries,1.0
203,2912,Q60257984,1858.0,1860,Abraham Jacobs,1,Low countries,0.0
204,2917,Q98096846,1857.0,1860,Stephen Grey,1,United Kingdom,0.0
205,2921,Q105715690,1842.0,1840,Edmond Louis Félix Henricy,3,France,2.0
206,2924,Q18093176,1862.0,1860,Jan Frederik Jansen,5,Low countries,0.0
207,2945,Q1890557,1815.0,1820,Joseph Germain Dutalis,16,Low countries,8.0
208,2956,Q46998701,1859.0,1860,Hendrik Lap,10,Low countries,0.0
209,2963,Q3130337,1817.0,1820,Henri Antoine Jacques,5,France,2.0
210,2985,Q2460508,1874.0,1870,Eugène Jean Copman,5,Low countries,10.0
211,2993,Q9140120,1864.0,1860,Adam Pajgert,18,Eastern Europe,2.0
212,2997,Q18534209,1856.0,1860,John Middleton,21,United Kingdom,13.0
213,3012,Q3588378,1866.0,1870,Emile Adélard Breton,24,France,16.0
214,3014,Q105924280,1874.0,1870,Józefina Rapacka,5,Eastern Europe,0.0
215,3022,Q18576971,1815.0,1820,Samuel Elsdale,3,United Kingdom,0.0
216,3032,Q55792284,1866.0,1870,Hartog Philippus van Adelsbergen,1,Low countries,0.0
217,3035,Q95387638,1874.0,1870,Alois Doufalík,4,Eastern Europe,0.0
218,3044,Q101587,1870.0,1870,Paul Yorck von Wartenburg,34,Eastern Europe,0.0
219,3061,Q351785,1807.0,1810,John Murray,9,United Kingdom,0.0
220,3065,Q2126266,1825.0,1820,François Dubois,14,France,5.0
221,3069,Q24259582,1806.0,1810,Robert Metcalf,4,United Kingdom,21.0
222,3088,Q17308875,1863.0,1860,Francis Chambers,3,United Kingdom,0.0
223,3092,Q17265891,1859.0,1860,Stanislas Ratel,18,France,2.0
224,3115,Q19325882,1850.0,1850,Joseph Lionel Williams,13,United Kingdom,1.0
225,3130,Q3991857,1841.0,1840,Tito Angelini,16,Italy,0.0
226,3148,Q18115039,1849.0,1850,Charles Gérard,22,France,1.0
227,3155,Q15440696,1839.0,1840,Peter Hubert Desvignes,11,United Kingdom,0.0
228,3163,Q92683671,1866.0,1870,Carlo Verardi,1,Italy,0.0
229,3171,Q20947158,1856.0,1860,Lucile Doux,2,France,0.0
230,3181,Q904359,1867.0,1870,Julius Dessauer,22,Eastern Europe,0.0
231,3187,Q16330189,1871.0,1870,Alexandros Varvakis,1,Eastern Europe,0.0
232,3214,Q47183753,1864.0,1860,Luigi Fioravanti,8,Italy,0.0
233,3223,Q50348969,1807.0,1810,John M. Field,11,United Kingdom,0.0
234,3243,Q16858155,1840.0,1840,Fanny Bury Palliser,29,United Kingdom,1.0
235,3248,Q91552,1869.0,1870,Albert Zabel,35,Eastern Europe,0.0
236,3254,Q61268636,1864.0,1860,Stevan Pavlović,12,Eastern Europe,0.0
237,3265,Q15458134,1831.0,1830,Nicolas Mori,12,United Kingdom,0.0
238,3267,Q20437337,1818.0,1820,János Somosi,3,Eastern Europe,0.0
239,3275,Q12260434,1849.0,1850,Joanes Otsalde,6,France,1.0
240,3279,Q5627991,1816.0,1820,Klas Adam Ehrengranat,10,Nordic countries,0.0
241,3302,Q29052603,1831.0,1830,Auguste Royer,1,Low countries,0.0
242,3310,Q29905422,1857.0,1860,George Benjamin Allen,13,United Kingdom,0.0
243,3313,Q6218252,1807.0,1810,Johan Agapetus Törngren,15,Nordic countries,0.0
244,3328,Q192428,1807.0,1810,Étienne Geoffroy Saint-Hilaire,78,France,7.0
245,3346,Q105414057,1871.0,1870,Karl Zwerger,1,Eastern Europe,0.0
246,3351,Q23011614,1820.0,1820,Anne-Cécile Duret,7,France,0.0
247,3387,Q34370671,1830.0,1830,Noël Champoiseau,6,France,0.0
248,3394,Q106092431,1850.0,1850,Rolland de Villarceaux,6,France,0.0
249,3396,Q1297348,1815.0,1820,Ignác Szepessy,8,Eastern Europe,0.0
250,3404,Q18752813,1808.0,1810,Maria Grace Saffery,9,United Kingdom,0.0
251,3415,Q18672903,1844.0,1840,William Lee,7,United Kingdom,0.0
252,3429,Q106507383,1813.0,1810,Alois Franz Zwoneczek,3,Eastern Europe,0.0
253,3431,Q95149869,1869.0,1870,Karel Hložek,3,Eastern Europe,0.0
254,3453,Q13426917,1874.0,1870,Augusta Braunerhjelm,13,Nordic countries,1.0
255,3461,Q3092614,1852.0,1850,Félix Teynard,33,France,3.0
256,3484,Q544646,1829.0,1830,Léon Cogniet,62,France,37.0
257,3500,Q95168160,1874.0,1870,Maxmilián Vrzal,2,Eastern Europe,0.0
258,3514,Q61199232,1867.0,1870,P. Basilius Schwitzer,7,Italy,0.0
259,3518,Q17634363,1845.0,1840,Louis François Hérisson,5,France,0.0
260,3531,Q94790456,1828.0,1830,Hirschmann Brandeis,9,Eastern Europe,0.0
261,3535,Q18671167,1856.0,1860,Fanny Wyndham,3,United Kingdom,0.0
262,3542,Q5576472,1840.0,1840,Frederik Sneedorff Birch,12,Nordic countries,0.0
263,3551,Q15406997,1852.0,1850,Pierre-Eugène Lamairesse,25,France,0.0
264,3587,Q64674209,1868.0,1870,Karel Hartig,12,Eastern Europe,0.0
265,3589,Q28664881,1828.0,1830,Pyotr Voskresensky,1,Eastern Europe,0.0
266,3594,Q1531198,1827.0,1830,Jakob Ginzel,16,Eastern Europe,0.0
267,3595,Q4846060,1860.0,1860,Edward Pawłowicz,13,Eastern Europe,0.0
268,3599,Q38081933,1844.0,1840,Johannes Rutten,14,Low countries,8.0
269,3620,Q562000,1835.0,1840,Anna Maria Hall,45,United Kingdom,3.0
270,3633,Q55227689,1841.0,1840,Roberto Focosi,19,Italy,0.0
271,3641,Q59629199,1862.0,1860,William Charles Baldwin,16,United Kingdom,0.0
272,3645,Q1871385,1817.0,1820,Louis-Barthélémy Pradher,20,France,0.0
273,3652,Q2662739,1863.0,1860,Lodewijk Willem Ernst Rauwenhoff,23,Italy,0.0
274,3656,Q2242419,1808.0,1810,Lodewijk Frederik Christiaan Haug,6,Low countries,0.0
275,3661,Q3161076,1869.0,1870,James Fillis,23,France,3.0
276,3667,Q24076680,1867.0,1870,François van Schoubroeck,1,Low countries,0.0
277,3671,Q5729981,1842.0,1840,Henry Weekes,36,United Kingdom,1.0
278,3678,Q2368023,1852.0,1850,Edmond Du Sommerard,28,France,1.0
279,3686,Q30158453,1807.0,1810,Liberato Baccelli,8,Italy,0.0
280,3706,Q18681518,1818.0,1820,Maria Hackett,13,United Kingdom,0.0
281,3717,Q21117347,1865.0,1860,Léon-Auguste Michelet,9,France,0.0
282,3720,Q30064160,1854.0,1850,Gerhard von Yhlen,3,Nordic countries,0.0
283,3739,Q553910,1874.0,1870,Fredrik Johan Wiik,14,Nordic countries,3.0
284,3743,Q27764909,1843.0,1840,André de Champcour,1,France,0.0
285,3756,Q13137858,1829.0,1830,Sjoerd Bonga,4,Low countries,2.0
286,3765,Q97947164,1873.0,1870,Auguste Bardey,4,France,0.0
287,3774,Q61200104,1869.0,1870,Ioan Ştefanelli,5,Eastern Europe,0.0
288,3791,Q2871362,1874.0,1870,Auguste Pointelin,29,France,18.0
289,3800,Q3102741,1846.0,1850,Samuel Tickell,7,United Kingdom,0.0
290,3804,Q55227239,1865.0,1860,Luisa Emanuel,7,Italy,0.0
291,3808,Q381365,1861.0,1860,Morgan Crofton,9,United Kingdom,0.0
292,3811,Q4488649,1843.0,1840,Petrus Josephus Lutgers,22,Low countries,1.0
293,3834,Q54365938,1849.0,1850,Auguste Lireux,15,France,1.0
294,3852,Q110018026,1857.0,1860,Pierre Jacques Théodore Blard,2,France,0.0
295,3872,Q5878735,1848.0,1850,Holbrook Gaskell,7,United Kingdom,0.0
296,3888,Q39900747,1870.0,1870,Adolphe Potter,14,France,0.0
297,3902,Q6187679,1808.0,1810,Jonas Stecksén,2,Nordic countries,0.0
298,3905,Q94866578,1839.0,1840,Constantin Holland,4,Eastern Europe,0.0
299,3923,Q2842682,1865.0,1860,Thomas Simon Cool,14,Low countries,3.0
300,3927,Q88468251,1860.0,1860,Sophia Maria Campbell,1,Low countries,0.0
301,3956,Q17648235,1857.0,1860,Maksymilian Sosnowski,10,Eastern Europe,0.0
302,3994,Q738769,1845.0,1840,Victor Motschulsky,21,Eastern Europe,5.0
303,4020,Q3724468,1871.0,1870,Emilio Morpurgo,29,Italy,0.0
304,4023,Q53499257,1847.0,1850,Charles Ernest Clergé,13,France,0.0
305,4028,Q37970,1857.0,1860,Gregor Mendel,123,Eastern Europe,11.0
306,4030,Q28973025,1858.0,1860,Stephan Wolf,5,Eastern Europe,0.0
307,4038,Q18730175,1840.0,1840,Dugald Moore,9,United Kingdom,0.0
308,4057,Q88472501,1828.0,1830,Fanny Richomme,10,France,0.0
309,4069,Q1231633,1836.0,1840,Edward Newman,31,United Kingdom,22.0
310,4076,Q111370585,1858.0,1860,Zoë Tardieu,8,France,0.0
311,4084,Q955620,1866.0,1870,Henry Vandyke Carter,25,United Kingdom,0.0
312,4086,Q7967125,1835.0,1840,Wanda Malecka,11,Eastern Europe,0.0
313,4089,Q18117859,1836.0,1840,Valérie Rottembourg,11,France,0.0
314,4095,Q95219243,1852.0,1850,Julius Resler,6,Eastern Europe,0.0
315,4108,Q3184766,1835.0,1840,Joseph Clavel,11,France,0.0
316,4112,Q98640242,1869.0,1870,Cesare Sanfiorenzo,6,Italy,0.0
317,4117,Q3164236,1827.0,1830,Jean-Baptiste Louis Dumas,1,France,0.0
318,4120,Q15822900,1844.0,1840,Karl Friedrich Heinrich Bittcher,7,Eastern Europe,0.0
319,4135,Q720047,1819.0,1820,Joseph Bové,24,Eastern Europe,0.0
320,4142,Q3502080,1854.0,1850,Pietro Boyesen,8,Italy,0.0
321,4158,Q61790613,1874.0,1870,Angel Dolžan,6,Italy,0.0
322,4168,Q95083687,1856.0,1860,Ignác Emanuel Jelínek,7,Eastern Europe,0.0
323,4176,Q680944,1854.0,1850,Jean-Augustin Barral,41,France,1.0
324,4180,Q21166882,1828.0,1830,William West,6,United Kingdom,0.0
325,4193,Q21455639,1872.0,1870,Edmond André,10,France,1.0
326,4197,Q21455241,1871.0,1870,Alfred Morgan,2,United Kingdom,0.0
327,4228,Q3229755,1855.0,1860,Leone Emanuele Bardare,26,Italy,0.0
328,4239,Q1965046,1840.0,1840,Napoléon Coste,42,France,0.0
329,4282,Q722078,1819.0,1820,John Davis,1,United Kingdom,0.0
330,4287,Q110471169,1869.0,1870,Alfred Poussin,4,France,0.0
331,4299,Q2262696,1874.0,1870,Charles Hermans,28,Italy,5.0
332,4333,Q61727739,1861.0,1860,Josip Furlani,1,Italy,0.0
333,4340,Q3084278,1848.0,1850,François-Claudius Compte-Calix,42,France,3.0
334,4363,Q18278945,1867.0,1870,Nikolay Turbin,1,Eastern Europe,0.0
335,4370,Q1620013,1843.0,1840,Hippolyte-Raymond Colet,15,France,0.0
336,4381,Q4532413,1853.0,1850,Gustaw Ehrenberg,21,Eastern Europe,7.0
337,4434,Q18115348,1870.0,1870,Antoine Laporte,21,France,0.0
338,4437,Q741393,1863.0,1860,Johannes Helms,10,Nordic countries,0.0
339,4441,Q2980679,1869.0,1870,Clément Sans,6,France,0.0
340,4467,Q3761894,1813.0,1810,Giacinto Carena,35,Italy,0.0
